Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]"
Gini index,"SI.POV.GINI","Afghanistan","AFG","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Albania","ALB","..","..","29","..","34.6","32.8","33.7","33.1","30.1","30.8","..",".."
Gini index,"SI.POV.GINI","Algeria","DZA","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","American Samoa","ASM","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Andorra","AND","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Angola","AGO","..","52","..","..","..","..","..","..","51.3","..","..",".."
Gini index,"SI.POV.GINI","Antigua and Barbuda","ATG","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Argentina","ARG","..","51.1","41.3","40.9","41.6","..","42","41.1","41.3","42.9","42.3",".."
Gini index,"SI.POV.GINI","Armenia","ARM","..","..","29.6","30.6","31.5","32.4","32.5","33.6","34.4","29.9","25.2",".."
Gini index,"SI.POV.GINI","Aruba","ABW","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Australia","AUS","..","..","..","..","34.4","..","33.7","..","34.3","..","..",".."
Gini index,"SI.POV.GINI","Austria","AUT","..","28.8","30.5","30.8","30.5","30.5","30.8","29.7","30.8","30.2","..",".."
Gini index,"SI.POV.GINI","Azerbaijan","AZE","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Bahamas, The","BHS","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Bahrain","BHR","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Bangladesh","BGD","..","33.4","..","..","..","..","32.4","..","..","..","..",".."
Gini index,"SI.POV.GINI","Barbados","BRB","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Belarus","BLR","..","31.2","26.5","26.6","27.2","25.6","25.3","25.4","25.2","25.3","24.4",".."
Gini index,"SI.POV.GINI","Belgium","BEL","..","33.1","27.5","27.7","28.1","27.7","27.6","27.4","27.2","27.2","..",".."
Gini index,"SI.POV.GINI","Belize","BLZ","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Benin","BEN","..","..","..","..","..","47.8","..","..","37.8","..","..",".."
Gini index,"SI.POV.GINI","Bermuda","BMU","..","..","..","..","..","..","..","..","..","..","..",".."
